@relation "jmonkeyengine"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.NullPointerException,java.lang.RuntimeException,java.lang.IllegalStateException,java.lang.IllegalArgumentException,java.lang.UnsupportedOperationException,com.jme3.asset.AssetNotFoundException,com.jme3.asset.AssetLoadException,java.io.IOException,com.jme3.scene.plugins.blender.file.BlenderFileException,java.lang.AssertionError,java.lang.Exception,com.jme3.renderer.RendererException,org.xml.sax.SAXException,com.jme3.material.plugins.MatParseException,com.jme3.network.kernel.KernelException}

@data
16,"IfStatement","null",true,"settings ","com.jme3.system.AppSettings java.lang.String boolean ","CUSTOM ","getRenderer startsWith ","","",java.lang.UnsupportedOperationException
17,"IfStatement","null",true,"settings ","com.jme3.system.AppSettings java.lang.String boolean ","JOAL ","startsWith getAudioRenderer ","","",java.lang.UnsupportedOperationException
18,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
19,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
20,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
21,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
22,"IfStatement","null",true,"panel panels ","java.util.ArrayList com.jme3.system.awt.AwtPanel boolean ","","contains ","","",java.lang.IllegalArgumentException
23,"IfStatement","null",false,"actual context ","com.jme3.system.JmeContext ","NULL ","","","",java.lang.IllegalStateException
24,"IfStatement","null",false,"actual context ","com.jme3.system.JmeContext ","NULL ","","","",java.lang.IllegalStateException
25,"IfStatement","null",true,"out attach as main ","com.jme3.texture.FrameBuffer boolean ","","","","",java.lang.IllegalStateException
26,"IfStatement","null",false,"img ","com.jme3.texture.Image ","NULL ","","IOException ","com.jme3.asset.AssetLoadException ",com.jme3.asset.AssetLoadException
27,"IfStatement","null",true,"info ","com.jme3.asset.AssetInfo java.lang.String javax.imageio.ImageIO com.jme3.asset.AssetKey java.util.Iterator ","NULL ","getKey getImageReadersBySuffix getExtension ","IOException ","com.jme3.asset.AssetLoadException ",com.jme3.asset.AssetLoadException
28,"IfStatement","null",false,"","jme3tools.converters.ImageToAwt.DecodeParams ","NULL ","","","",java.lang.UnsupportedOperationException
29,"IfStatement","null",false,"in params out params ","jme3tools.converters.ImageToAwt.DecodeParams ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.UnsupportedOperationException
30,"IfStatement","null",true,"height output width ","int com.jme3.texture.Image ","","getWidth getHeight ","","java.lang.UnsupportedOperationException ",java.lang.IllegalArgumentException
31,"IfStatement","null",false,"","jme3tools.converters.ImageToAwt.DecodeParams ","NULL ","","","",java.lang.UnsupportedOperationException
32,"IfStatement","null",true,"sky generated texture size ","int ","","","","",java.lang.IllegalArgumentException
33,"IfStatement","null",true,"sky generated texture shape ","com.jme3.asset.BlenderKey.SkyGeneratedTextureShape ","NULL ","","","",java.lang.IllegalArgumentException
34,"IfStatement","null",true,"feature data type old memory address feature ","java.lang.Object java.lang.Long com.jme3.scene.plugins.blender.BlenderContext.LoadedDataType ","NULL ","","","",java.lang.IllegalArgumentException
35,"MethodDeclaration","null",true,"entry bone ","com.jme3.animation.Bone java.lang.String java.util.Map.Entry com.jme3.scene.plugins.blender.animations.BoneContext boolean ","","getName getBone getValue equals ","","",java.lang.IllegalStateException
36,"IfStatement","null",true,"marker value ","java.lang.Object ","NULL ","","","",java.lang.IllegalArgumentException
37,"CatchClause","com.jme3.scene.plugins.blender.file.BlenderFileException",false,"background color images lights textures filters sky linked data meshes materials objects scenes ","com.jme3.scene.plugins.blender.BlenderLoader.LoadedFeatures com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.Node java.util.Map com.jme3.scene.plugins.blender.file.Structure java.lang.Object com.jme3.scene.plugins.blender.file.FileBlockHeader java.lang.String java.util.logging.Logger com.jme3.scene.plugins.blender.file.FileBlockHeader.BlockCode com.jme3.texture.Texture ","NULL objects scenes {0}: {1}--> {2} this materials textures type Creating the root node of the model and applying loaded nodes of the scene and loaded features to it. backgroundColor Loading scenes and attaching them to the root object. ","put add getHelper getStructure fine getName getParent getUsedWorld log getLight toFog ","IOException ","java.io.IOException ",java.io.IOException
38,"CatchClause","java.lang.Exception",false,"background color images lights textures filters sky linked data meshes materials objects scenes ","com.jme3.scene.plugins.blender.BlenderLoader.LoadedFeatures com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.Node java.util.Map com.jme3.scene.plugins.blender.file.Structure java.lang.Object com.jme3.scene.plugins.blender.file.FileBlockHeader java.lang.String java.util.logging.Logger com.jme3.scene.plugins.blender.file.FileBlockHeader.BlockCode com.jme3.texture.Texture ","NULL objects scenes {0}: {1}--> {2} this materials textures type Creating the root node of the model and applying loaded nodes of the scene and loaded features to it. backgroundColor Loading scenes and attaching them to the root object. ","put add getHelper getStructure fine getName getParent getUsedWorld log getLight toFog ","IOException ","java.io.IOException ",java.io.IOException
39,"MethodDeclaration","null",false,"","","","","","",java.lang.IllegalStateException
40,"IfStatement","null",true,"data type ","java.lang.String boolean ","Armature ","equalsIgnoreCase ","BlenderFileException ","",java.lang.IllegalArgumentException
41,"SwitchStatement","null",true,"space ","com.jme3.scene.plugins.blender.constraints.ConstraintHelper.Space ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
42,"SwitchStatement","null",true,"space ","com.jme3.scene.plugins.blender.constraints.ConstraintHelper.Space ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
43,"SwitchStatement","null",true,"space ","com.jme3.scene.plugins.blender.constraints.ConstraintHelper.Space ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
44,"SwitchStatement","null",true,"space ","com.jme3.scene.plugins.blender.constraints.ConstraintHelper.Space ","","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
45,"SwitchStatement","null",true,"space ","com.jme3.scene.plugins.blender.constraints.ConstraintHelper.Space ","","","","java.lang.IllegalStateException ",java.lang.IllegalStateException
46,"SwitchStatement","null",true,"","byte ","","","","",java.lang.IllegalArgumentException
47,"IfStatement","null",true,"root node spatial ","com.jme3.scene.Node boolean ","NULL ","getParent ","","",java.lang.IllegalStateException
48,"IfStatement","null",false,"track ","com.jme3.animation.Track com.jme3.animation.SpatialTrack ","","","","",java.lang.IllegalStateException
49,"SwitchStatement","null",false,"flag ","int ","","","","",java.lang.IllegalStateException
50,"SwitchStatement","null",false,"mode ","int ","","","","",java.lang.IllegalStateException
51,"IfStatement","null",false,"owner ","java.lang.Object ","NULL ","","","",java.lang.IllegalStateException
52,"CatchClause","java.lang.IllegalArgumentException",true,"constraint name owner o m a blender context constraint structure def constraint definition class ","com.jme3.scene.plugins.blender.constraints.definitions.ConstraintDefinition com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.plugins.blender.file.Structure java.lang.Long java.lang.String java.lang.Class void java.lang.reflect.Constructor java.lang.Class ","","setConstraintName newInstance getDeclaredConstructors ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
53,"CatchClause","java.lang.SecurityException",true,"constraint name owner o m a blender context constraint structure def constraint definition class ","com.jme3.scene.plugins.blender.constraints.definitions.ConstraintDefinition com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.plugins.blender.file.Structure java.lang.Long java.lang.String java.lang.Class void java.lang.reflect.Constructor java.lang.Class ","","setConstraintName newInstance getDeclaredConstructors ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
54,"CatchClause","java.lang.InstantiationException",true,"constraint name owner o m a blender context constraint structure def constraint definition class ","com.jme3.scene.plugins.blender.constraints.definitions.ConstraintDefinition com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.plugins.blender.file.Structure java.lang.Long java.lang.String java.lang.Class void java.lang.reflect.Constructor java.lang.Class ","","setConstraintName newInstance getDeclaredConstructors ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
55,"CatchClause","java.lang.IllegalAccessException",true,"constraint name owner o m a blender context constraint structure def constraint definition class ","com.jme3.scene.plugins.blender.constraints.definitions.ConstraintDefinition com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.plugins.blender.file.Structure java.lang.Long java.lang.String java.lang.Class void java.lang.reflect.Constructor java.lang.Class ","","setConstraintName newInstance getDeclaredConstructors ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
56,"CatchClause","java.lang.reflect.InvocationTargetException",true,"constraint name owner o m a blender context constraint structure def constraint definition class ","com.jme3.scene.plugins.blender.constraints.definitions.ConstraintDefinition com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.plugins.blender.file.Structure java.lang.Long java.lang.String java.lang.Class void java.lang.reflect.Constructor java.lang.Class ","","setConstraintName newInstance getDeclaredConstructors ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
57,"IfStatement","null",false,"unsupported constraint class name ","java.lang.String ","NULL ","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
58,"IfStatement","null",false,"type_nurbs type ","int ","","","BlenderFileException ","",com.jme3.scene.plugins.blender.file.BlenderFileException
59,"IfStatement","null",true,"dimension ","int ","","","","",java.lang.IllegalArgumentException
60,"SwitchStatement","null",false,"interpolations ","int int ","","","","",java.lang.IllegalStateException
61,"IfStatement","null",false,"size ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
62,"IfStatement","null",true,"total size length data ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
63,"IfStatement","null",false,"size ","int ","","","BlenderFileException ","java.lang.IllegalStateException ",com.jme3.scene.plugins.blender.file.BlenderFileException
64,"SwitchStatement","null",false,"data type ","com.jme3.scene.plugins.blender.file.Structure.DataType ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException ",java.lang.IllegalStateException
65,"IfStatement","null",false,"table stop index ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
66,"CatchClause","java.lang.NumberFormatException",true,"name builder table start index table stop index lengths ","int java.lang.StringBuilder java.util.List java.lang.Integer java.lang.String boolean ","","valueOf substring add ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
67,"CatchClause","java.io.IOException",false,"buffered input stream ","java.io.BufferedInputStream void ","","readStreamToCache ","BlenderFileException ","",com.jme3.scene.plugins.blender.file.BlenderFileException
68,"CatchClause","java.io.IOException",false,"gis cached buffer ","java.util.zip.GZIPInputStream byte void java.io.ByteArrayInputStream ","","readStreamToCache ","","",java.lang.IllegalStateException
69,"IfStatement","null",false,"bytes read ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
70,"IfStatement","null",false,"str identifier ","java.lang.String boolean ","BLENDER ","equals ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
71,"IfStatement","null",false,"pointer size sign ","char ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
72,"IfStatement","null",false,"endianess ","char ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
73,"IfStatement","null",false,"bytes read ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
74,"IfStatement","null",true,"bytes amount ","int ","","","","",java.lang.IllegalArgumentException
75,"IfStatement","null",false,"fields amount ","int ","","","BlenderFileException ","",com.jme3.scene.plugins.blender.file.BlenderFileException
76,"IfStatement","null",false,"type ","java.lang.String boolean ","ListBase ","equals ","BlenderFileException ","",java.lang.IllegalStateException
77,"IfStatement","null",false,"old memory address ","java.lang.Long long ","","longValue ","","",java.lang.IllegalStateException
78,"MethodDeclaration","null",true,"result blender context type ","java.lang.String com.jme3.scene.plugins.blender.BlenderContext com.jme3.scene.plugins.blender.file.Structure.DataType boolean com.jme3.scene.plugins.blender.file.DnaBlockData ","NULL ","getDnaBlockData hasStructure ","BlenderFileException ","",com.jme3.scene.plugins.blender.file.BlenderFileException
79,"IfStatement","null",false,"identifier sdna_id ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
80,"IfStatement","null",false,"identifier name_id ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
81,"IfStatement","null",false,"amount ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
82,"IfStatement","null",false,"identifier type_id ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
83,"IfStatement","null",false,"amount ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
84,"IfStatement","null",false,"identifier tlen_id ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
85,"IfStatement","null",false,"identifier strc_id ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
86,"IfStatement","null",false,"amount ","int ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
87,"IfStatement","null",false,"structures structures map ","int com.jme3.scene.plugins.blender.file.Structure java.util.Map java.lang.String boolean ","","containsKey getType ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
88,"CatchClause","java.lang.CloneNotSupportedException",true,"index structures ","int com.jme3.scene.plugins.blender.file.Structure java.lang.Object com.jme3.scene.plugins.blender.file.Structure ","","clone ","","",java.lang.IllegalStateException
89,"CatchClause","java.lang.CloneNotSupportedException",true,"name structures map ","java.lang.String com.jme3.scene.plugins.blender.file.Structure java.util.Map java.lang.Object ","","get clone ","","",java.lang.IllegalStateException
90,"IfStatement","null",false,"old memory address ","long ","","","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException ",java.lang.NullPointerException
91,"IfStatement","null",false,"data file block ","com.jme3.scene.plugins.blender.file.FileBlockHeader ","NULL ","","BlenderFileException ","java.lang.NullPointerException ",com.jme3.scene.plugins.blender.file.BlenderFileException
92,"IfStatement","null",false,"loaded textures ","java.util.List int ","","size ","BlenderFileException ","",java.lang.IllegalStateException
93,"SwitchStatement","null",false,"type ","int ","","","BlenderFileException ","",com.jme3.scene.plugins.blender.file.BlenderFileException
94,"SwitchStatement","null",true,"diffuse shader ","com.jme3.scene.plugins.blender.materials.MaterialHelper.DiffuseShader ","","","","",java.lang.IllegalStateException
95,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
96,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
97,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.scene.plugins.blender.math.Vector3d ","","","","",java.lang.AssertionError
98,"CatchClause","java.lang.CloneNotSupportedException",false,"rotation scale translation ","com.jme3.scene.plugins.blender.math.DTransform com.jme3.scene.plugins.blender.math.Vector3d com.jme3.scene.plugins.blender.math.DQuaternion java.lang.Object ","","clone ","","",java.lang.AssertionError
99,"CatchClause","java.lang.CloneNotSupportedException",false,"","java.lang.Object com.jme3.scene.plugins.blender.math.DQuaternion ","","","","",java.lang.AssertionError
100,"MethodDeclaration","null",true,"index index2 index1 ","int ","","","","",java.lang.IllegalArgumentException
101,"IfStatement","null",true,"result node ","java.util.List java.lang.Integer boolean ","","contains ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
102,"IfStatement","null",false,"next steps ","java.util.List int ","","size ","BlenderFileException ","com.jme3.scene.plugins.blender.file.BlenderFileException ",com.jme3.scene.plugins.blender.file.BlenderFileException
103,"IfStatement","null",true,"length triangle indexes ","int java.lang.Integer ","","","BlenderFileException ","java.lang.IllegalStateException ",java.lang.IllegalArgumentException
104,"IfStatement","null",false,"path ","java.util.List int ","","size ","BlenderFileException ","java.lang.IllegalArgumentException ",java.lang.IllegalStateException
105,"IfStatement","null",true,"temporal mesh ","com.jme3.scene.plugins.blender.meshes.TemporalMesh ","NULL ","","","",java.lang.IllegalArgumentException
106,"IfStatement","null",false,"distinct crossing vectors ","java.util.List int ","","size ","","",java.lang.IllegalStateException
107,"IfStatement","null",true,"normals length verts ","com.jme3.math.Vector3f int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
108,"IfStatement","null",true,"vert colors length verts ","int byte com.jme3.math.Vector3f ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
109,"IfStatement","null",true,"vertex groups length verts ","int java.util.List com.jme3.math.Vector3f ","","size ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
110,"IfStatement","null",false,"bounding volume ","com.jme3.bounding.BoundingVolume com.jme3.bounding.BoundingSphere ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
111,"IfStatement","null",false,"fittype ","int ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
112,"IfStatement","null",false,"fittype ","int ","","","","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.IllegalStateException
113,"SwitchStatement","null",false,"sub type ","int ","","","BlenderFileException ","java.lang.UnsupportedOperationException java.lang.IllegalStateException ",java.lang.IllegalStateException
114,"SwitchStatement","null",false,"type ","int ","","","BlenderFileException ","java.lang.IllegalStateException java.lang.IllegalStateException ",java.lang.UnsupportedOperationException
115,"SwitchStatement","null",false,"type ","int ","","","BlenderFileException ","java.lang.IllegalStateException java.lang.UnsupportedOperationException ",java.lang.IllegalStateException
116,"MethodDeclaration","null",true,"blender type value type ","int com.jme3.scene.plugins.blender.objects.ObjectHelper.ObjectType ","","","BlenderFileException ","",com.jme3.scene.plugins.blender.file.BlenderFileException
117,"IfStatement","null",true,"colors ","java.util.List int ","NULL ","size ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
118,"IfStatement","null",true,"ipo_linear ipo type ipo_constant ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
