@relation "commons-io"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.io.EOFException,java.io.IOException,java.lang.IllegalStateException,java.lang.NullPointerException,java.lang.UnsupportedOperationException,java.io.UnsupportedEncodingException,org.apache.commons.io.input.XmlStreamReaderException,org.apache.commons.io.input.compatibility.XmlStreamReaderException}

@data
111,"IfStatement","null",true,"size offset ","int ","","","IOException ","java.lang.IllegalArgumentException ",java.io.IOException
112,"IfStatement","null",false,"resource ","java.net.URL ","NULL ","","IOException ","",java.io.IOException
113,"IfStatement","null",true,"to skip ","long ","","","IOException ","",java.lang.IllegalArgumentException
114,"IfStatement","null",true,"to skip ","long ","","","IOException ","",java.lang.IllegalArgumentException
115,"IfStatement","null",true,"to skip ","long ","","","IOException ","",java.lang.IllegalArgumentException
116,"IfStatement","null",true,"to skip ","long ","","","IOException ","java.io.EOFException ",java.lang.IllegalArgumentException
117,"IfStatement","null",true,"skipped to skip ","long ","","","IOException ","java.lang.IllegalArgumentException ",java.io.EOFException
118,"IfStatement","null",true,"to skip ","long ","","","IOException ","java.io.EOFException ",java.lang.IllegalArgumentException
119,"IfStatement","null",true,"skipped to skip ","long ","","","IOException ","java.lang.IllegalArgumentException ",java.io.EOFException
120,"IfStatement","null",true,"skipped to skip ","long ","","","IOException ","",java.io.EOFException
121,"IfStatement","null",true,"length ","int ","","","IOException ","",java.lang.IllegalArgumentException
122,"IfStatement","null",true,"length ","int ","","","IOException ","",java.lang.IllegalArgumentException
123,"IfStatement","null",true,"length actual ","int ","","","IOException ","",java.io.EOFException
124,"IfStatement","null",true,"length actual ","int ","","","IOException ","",java.io.EOFException
125,"IfStatement","null",false,"expected actual ","int ","","","IOException ","",java.io.EOFException
126,"IfStatement","null",true,"reader ","java.io.Reader ","NULL ","","IllegalArgumentException ","",java.lang.IllegalArgumentException
127,"CatchClause","java.io.IOException",false,"cached line line buffered reader finished ","java.lang.String boolean java.io.BufferedReader ","NULL ","isValidLine readLine ","","",java.lang.IllegalStateException
128,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
129,"IfStatement","null",true,"delegate ","java.util.Comparator ","NULL ","","","",java.lang.IllegalArgumentException
130,"IfStatement","null",true,"magic number ","java.lang.String ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
131,"IfStatement","null",true,"magic number ","java.lang.String boolean ","","isEmpty ","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
132,"IfStatement","null",true,"offset ","long ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
133,"IfStatement","null",true,"magic number ","byte ","NULL ","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
134,"IfStatement","null",true,"magic number length ","int byte ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
135,"IfStatement","null",true,"offset ","long ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
136,"IfStatement","null",true,"filter2 filter1 ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","",java.lang.IllegalArgumentException
137,"IfStatement","null",true,"pattern ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
138,"IfStatement","null",true,"pattern ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
139,"IfStatement","null",true,"pattern ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
140,"IfStatement","null",true,"pattern ","java.util.regex.Pattern ","NULL ","","","",java.lang.IllegalArgumentException
141,"IfStatement","null",true,"filter2 filter1 ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","",java.lang.IllegalArgumentException
142,"IfStatement","null",true,"suffix ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
143,"IfStatement","null",true,"suffixes ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
144,"IfStatement","null",true,"suffixes ","java.util.List ","NULL ","","","",java.lang.IllegalArgumentException
145,"IfStatement","null",true,"wildcard ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
146,"IfStatement","null",true,"wildcards ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
147,"IfStatement","null",true,"wildcards ","java.util.List ","NULL ","","","",java.lang.IllegalArgumentException
148,"IfStatement","null",true,"name ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
149,"IfStatement","null",true,"names ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
150,"IfStatement","null",true,"names ","java.util.List ","NULL ","","","",java.lang.IllegalArgumentException
151,"IfStatement","null",true,"prefix ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
152,"IfStatement","null",true,"prefixes ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
153,"IfStatement","null",true,"prefixes ","java.util.List ","NULL ","","","",java.lang.IllegalArgumentException
154,"IfStatement","null",true,"filter ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","",java.lang.IllegalArgumentException
155,"IfStatement","null",true,"size ","long ","","","","",java.lang.IllegalArgumentException
156,"IfStatement","null",true,"filter ","java.io.FilenameFilter ","NULL ","","","",java.lang.IllegalArgumentException
157,"IfStatement","null",true,"filter ","java.io.FileFilter ","NULL ","","","",java.lang.IllegalArgumentException
158,"IfStatement","null",true,"filter ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
159,"IfStatement","null",false,"file ","java.io.File ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
160,"IfStatement","null",true,"filter ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
161,"IfStatement","null",false,"file ","java.io.File ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
162,"IfStatement","null",true,"filters ","org.apache.commons.io.filefilter.IOFileFilter ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
163,"IfStatement","null",true,"filters ","org.apache.commons.io.filefilter.IOFileFilter int ","NULL ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
164,"IfStatement","null",true,"wildcard ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
165,"IfStatement","null",true,"wildcards ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
166,"IfStatement","null",true,"wildcards ","java.util.List ","NULL ","","","",java.lang.IllegalArgumentException
167,"IfStatement","null",false,"mark supported ","boolean ","","","","",java.lang.UnsupportedOperationException
168,"IfStatement","null",false,"eof ","boolean ","","","IOException ","",java.io.IOException
169,"IfStatement","null",false,"eof ","boolean ","","","IOException ","",java.io.IOException
170,"IfStatement","null",false,"mark supported ","boolean ","","","IOException ","java.io.IOException java.io.IOException ",java.lang.UnsupportedOperationException
171,"IfStatement","null",false,"mark ","long ","","","IOException ","java.lang.UnsupportedOperationException java.io.IOException ",java.io.IOException
172,"IfStatement","null",false,"position readlimit mark ","long ","","","IOException ","java.lang.UnsupportedOperationException java.io.IOException ",java.io.IOException
173,"IfStatement","null",false,"eof ","boolean ","","","IOException ","",java.io.IOException
174,"IfStatement","null",false,"throw eof exception ","boolean ","","","EOFException ","",java.io.EOFException
175,"IfStatement","null",false,"mark supported ","boolean ","","","","",java.lang.UnsupportedOperationException
176,"IfStatement","null",false,"eof ","boolean ","","","IOException ","",java.io.IOException
177,"IfStatement","null",false,"eof ","boolean ","","","IOException ","",java.io.IOException
178,"IfStatement","null",false,"mark supported ","boolean ","","","IOException ","java.io.IOException java.io.IOException ",java.lang.UnsupportedOperationException
179,"IfStatement","null",false,"mark ","long ","","","IOException ","java.lang.UnsupportedOperationException java.io.IOException ",java.io.IOException
180,"IfStatement","null",false,"position readlimit mark ","long ","","","IOException ","java.lang.UnsupportedOperationException java.io.IOException ",java.io.IOException
181,"IfStatement","null",false,"eof ","boolean ","","","IOException ","",java.io.IOException
182,"IfStatement","null",false,"throw eof exception ","boolean ","","","EOFException ","",java.io.EOFException
183,"IfStatement","null",true,"array ","char ","NULL ","","","java.lang.IndexOutOfBoundsException ",java.lang.NullPointerException
184,"IfStatement","null",true,"","long ","","","","",java.lang.IllegalArgumentException
185,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
186,"IfStatement","null",true,"boms length ","org.apache.commons.io.ByteOrderMark int ","NULL ","","","",java.lang.IllegalArgumentException
187,"IfStatement","null",true,"boms bom ","java.util.List org.apache.commons.io.ByteOrderMark boolean ","","contains ","IOException ","",java.lang.IllegalArgumentException
188,"IfStatement","null",false,"utf_16 charset ","java.nio.charset.Charset java.nio.charset.StandardCharsets ","","","IOException ","java.io.UnsupportedEncodingException ",java.io.UnsupportedEncodingException
189,"IfStatement","null",false,"utf_16 charset ","java.nio.charset.Charset java.nio.charset.StandardCharsets ","","","IOException ","java.io.UnsupportedEncodingException ",java.io.UnsupportedEncodingException
190,"IfStatement","null",true,"length count read ","int ","","","IOException ","",java.lang.IllegalStateException
191,"IfStatement","null",false,"current last byte pos ","int ","","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
192,"IfStatement","null",false,"left over ","byte ","NULL ","","IOException ","java.lang.IllegalStateException ",java.lang.IllegalStateException
193,"IfStatement","null",false,"line length bytes ","int ","","","IOException ","",java.lang.IllegalStateException
194,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
195,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
196,"IfStatement","null",false,"count eof ","int ","","","IOException EOFException ","",java.io.EOFException
197,"MethodDeclaration","null",false,"","","","","IOException EOFException ","",java.lang.UnsupportedOperationException
198,"MethodDeclaration","null",false,"","","","","IOException EOFException ","",java.lang.UnsupportedOperationException
199,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
200,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
201,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
202,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
203,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
204,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
205,"MethodDeclaration","null",false,"","","","","IOException ","",java.io.IOException
206,"CatchClause","org.apache.commons.io.input.XmlStreamReaderException",false,"xml enc xml guess enc bom enc ","java.lang.String ","","calculateRawEncoding ","IOException ","",org.apache.commons.io.input.XmlStreamReaderException
207,"CatchClause","org.apache.commons.io.input.XmlStreamReaderException",true,"xml enc http content type xml guess enc lenient bom enc ","java.lang.String boolean ","","calculateHttpEncoding ","IOException ","",org.apache.commons.io.input.XmlStreamReaderException
208,"IfStatement","null",true,"utf_8 xml guess enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
209,"IfStatement","null",true,"utf_8 xml enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
210,"IfStatement","null",true,"xml guess enc bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
211,"IfStatement","null",true,"xml enc utf_16 bom enc ","java.lang.String boolean ","NULL ","equals ","IOException ","org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException org.apache.commons.io.input.XmlStreamReaderException ",org.apache.commons.io.input.XmlStreamReaderException
