@relation "lucene"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.RuntimeException,java.lang.IllegalArgumentException,java.lang.Error,java.io.IOException,java.lang.AssertionError,java.lang.IllegalStateException,java.text.ParseException,java.lang.UnsupportedOperationException,java.lang.NullPointerException,java.lang.Throwable,java.io.EOFException,java.io.FileNotFoundException,java.lang.Exception,org.apache.lucene.util.ThreadInterruptedException,org.apache.lucene.index.CorruptIndexException,java.lang.IndexOutOfBoundsException,org.apache.lucene.store.AlreadyClosedException,java.util.NoSuchElementException,java.io.UncheckedIOException,NULL,java.nio.file.NoSuchFileException,java.lang.NumberFormatException,org.antlr.v4.runtime.FailedPredicateException,org.apache.lucene.queryparser.classic.ParseException,org.apache.lucene.queryparser.flexible.standard.parser.ParseException,org.apache.lucene.queryparser.surround.parser.ParseException,org.apache.lucene.queryparser.xml.ParserException,junit.framework.AssertionFailedError,org.apache.tools.ant.BuildException}

@data
13,"CatchClause","java.io.IOException",true,"cached root arcs end_label label fst reader target map scratch arc ","org.apache.lucene.util.fst.FST.Arc org.apache.lucene.util.fst.FST.BytesReader org.apache.lucene.util.fst.FST int org.apache.lucene.util.fst.FST long java.lang.Character java.util.Map org.apache.lucene.util.CharsRef boolean ","","readNextRealArc getBytesReader copyFrom isLast put targetHasArcs readFirstRealTargetArc getFirstArc valueOf ","","",java.lang.RuntimeException
14,"IfStatement","null",true,"match ","java.lang.String int ","","length ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
15,"IfStatement","null",true,"pending pairs match ","java.lang.String java.util.Map boolean ","","containsKey ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
16,"CatchClause","java.io.IOException",false,"byte2 pending pairs builder ent scratch map outputs ","org.apache.lucene.util.fst.Builder java.util.Map.Entry org.apache.lucene.util.IntsRefBuilder org.apache.lucene.util.fst.Outputs java.util.Map java.lang.String org.apache.lucene.util.fst.FST.INPUT_TYPE org.apache.lucene.util.CharsRef org.apache.lucene.util.fst.FST void org.apache.lucene.util.fst.CharSequenceOutputs ","","clear getValue getKey entrySet finish getSingleton add toUTF16 ","","",java.lang.RuntimeException
17,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
18,"IfStatement","null",false,"","java.util.regex.Matcher boolean ","","find ","","",java.lang.IllegalArgumentException
19,"IfStatement","null",false,"len read pos ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
20,"IfStatement","null",false,"len read pos ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
21,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
22,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
23,"CatchClause","java.io.IOException",false,"default_stopword_file default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.cjk.CJKAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
24,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset org.apache.lucene.analysis.ckb.SoraniAnalyzer java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getWordSet ","","",java.lang.RuntimeException
25,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
26,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
27,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
28,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
29,"IfStatement","null",true,"dictionary ","org.apache.lucene.analysis.CharArraySet ","NULL ","","","",java.lang.IllegalArgumentException
30,"IfStatement","null",true,"dictionary ","org.apache.lucene.analysis.CharArraySet ","NULL ","","","",java.lang.IllegalArgumentException
31,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
32,"IfStatement","null",true,"min word size ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
33,"IfStatement","null",true,"min subword size ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
34,"IfStatement","null",true,"max subword size ","int ","","","","java.lang.IllegalArgumentException java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
35,"CatchClause","org.xml.sax.SAXException",true,"source parser ","org.xml.sax.XMLReader org.xml.sax.InputSource void ","","parse ","IOException ","",java.io.IOException
36,"CatchClause","java.lang.Exception",false,"factory ","javax.xml.parsers.SAXParserFactory javax.xml.parsers.SAXParser void org.xml.sax.XMLReader ","","getXMLReader newInstance newSAXParser setNamespaceAware ","","",java.lang.RuntimeException
37,"IfStatement","null",false,"max token len max_token_length_limit ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
38,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
39,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
40,"IfStatement","null",false,"max token len max_token_length_limit ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
41,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
42,"SwitchStatement","null",false,"rule ","java.lang.String ","","","","",java.lang.AssertionError
43,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
44,"IfStatement","null",false,"max token len max_token_length_limit ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
45,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
46,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
47,"IfStatement","null",false,"format_snowball format ","java.lang.String boolean ","","equalsIgnoreCase ","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
48,"IfStatement","null",false,"format ","java.lang.String ","NULL ","","IOException ","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
49,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
50,"IfStatement","null",true,"max_token_length_limit buffer size ","int ","","","","",java.lang.IllegalArgumentException
51,"IfStatement","null",true,"max_token_length_limit buffer size ","int ","","","","",java.lang.IllegalArgumentException
52,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
53,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
54,"IfStatement","null",false,"components added ","boolean ","","","","",java.lang.IllegalStateException
55,"IfStatement","null",true,"pos inc gap ","int ","","","","",java.lang.IllegalArgumentException
56,"IfStatement","null",true,"offset gap ","int ","","","","",java.lang.IllegalArgumentException
57,"IfStatement","null",false,"clazz ","java.lang.Class boolean java.lang.Class org.apache.lucene.analysis.miscellaneous.ConditionalTokenFilterFactory ","","isAssignableFrom ","IOException ","",java.lang.IllegalArgumentException
58,"IfStatement","null",false,"tokenizer ","org.apache.lucene.util.SetOnce org.apache.lucene.analysis.util.TokenizerFactory ","NULL ","get ","","",java.lang.IllegalStateException
59,"IfStatement","null",true,"length params ","int java.lang.String ","","","","",java.lang.IllegalArgumentException
60,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset org.apache.lucene.analysis.cz.CzechAnalyzer java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getWordSet ","","",java.lang.RuntimeException
61,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
62,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.snowball.SnowballFilter org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getSnowballWordSet ","","",java.lang.RuntimeException
63,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
64,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
65,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
66,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.snowball.SnowballFilter org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getSnowballWordSet ","","",java.lang.RuntimeException
67,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
68,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
69,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
70,"CatchClause","java.io.IOException",false,"default_stopword_file default_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.el.GreekAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
71,"IfStatement","null",false,"exception words ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
72,"IfStatement","null",false,"direct conflations ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
73,"IfStatement","null",false,"country nationality ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
74,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
75,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
76,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
77,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
78,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
79,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
80,"IfStatement","null",false,"array ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
81,"IfStatement","null",false,"data ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean org.apache.lucene.analysis.en.KStemData8 ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
82,"IfStatement","null",false,"supplement dict ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
83,"IfStatement","null",false,"proper nouns ","int java.lang.String org.apache.lucene.analysis.CharArrayMap boolean ","","containsKey ","","java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException java.lang.RuntimeException ",java.lang.RuntimeException
84,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
85,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
86,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
87,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
88,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.snowball.SnowballFilter org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getSnowballWordSet ","","",java.lang.RuntimeException
89,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
90,"CatchClause","java.io.IOException",false,"default_stopword_file default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.eu.BasqueAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
91,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
92,"CatchClause","java.io.IOException",false,"default_stopword_file stopwords_comment default_stop_set ","java.lang.String org.apache.lucene.analysis.CharArraySet org.apache.lucene.analysis.fa.PersianAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
93,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
94,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
95,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.snowball.SnowballFilter org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getSnowballWordSet ","","",java.lang.RuntimeException
96,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
97,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.snowball.SnowballFilter org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getSnowballWordSet ","","",java.lang.RuntimeException
98,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
99,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
100,"CatchClause","java.io.IOException",false,"default_stopword_file default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String org.apache.lucene.analysis.ga.IrishAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
101,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
102,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
103,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.gl.GalicianAnalyzer org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getWordSet ","","",java.lang.RuntimeException
104,"CatchClause","java.io.IOException",false,"default_stopword_file stopwords_comment default_stop_set ","java.lang.String org.apache.lucene.analysis.CharArraySet org.apache.lucene.analysis.hi.HindiAnalyzer ","","loadStopwordSet ","","",java.lang.RuntimeException
105,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
106,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
107,"CatchClause","java.io.IOException",false,"default_stopword_file utf_8 default_stop_set ","org.apache.lucene.analysis.CharArraySet java.lang.String java.nio.charset.Charset java.io.Reader java.nio.charset.StandardCharsets org.apache.lucene.analysis.snowball.SnowballFilter org.apache.lucene.util.IOUtils org.apache.lucene.analysis.WordlistLoader ","","getDecodingReader getSnowballWordSet ","","",java.lang.RuntimeException
108,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
109,"IfStatement","null",true,"args ","java.util.Map boolean ","","isEmpty ","","",java.lang.IllegalArgumentException
110,"CatchClause","java.text.ParseException",true,"temp path dicts file affix file affix temp dir ignore case dictionaries dictionary loader ","java.nio.file.Path java.lang.String java.io.InputStream java.util.List org.apache.lucene.store.Directory org.apache.lucene.analysis.hunspell.Dictionary org.apache.lucene.analysis.util.ResourceLoader boolean org.apache.lucene.store.FSDirectory java.lang.String java.nio.file.Files ","Hunspell hunspell ","openResource getDefaultTempDir open createTempDirectory add ","IOException ","",java.io.IOException
111,"CatchClause","java.io.IOException",true,"no_output word bytes reader arc fst output end_label offset ","int org.apache.lucene.util.IntsRef org.apache.lucene.util.fst.FST.Arc org.apache.lucene.util.fst.FST org.apache.lucene.util.fst.FST.BytesReader org.apache.lucene.util.fst.Outputs char java.lang.Character org.apache.lucene.util.fst.FST ","NULL ","findTargetArc add charCount codePointAt ","","",java.lang.RuntimeException
112,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException ",java.text.ParseException
113,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException ",java.text.ParseException
114,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException ",java.text.ParseException
115,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException ",java.text.ParseException
116,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException ",java.text.ParseException
117,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException java.text.ParseException ",java.text.ParseException
118,"IfStatement","null",false,"length rule args ","int java.lang.String ","","","IOException ParseException ","java.lang.UnsupportedOperationException java.lang.UnsupportedOperationException java.lang.UnsupportedOperationException ",java.text.ParseException
119,"IfStatement","null",false,"pattern index max_value ","short java.lang.Integer java.lang.Short ","","","IOException ParseException ","java.text.ParseException java.lang.UnsupportedOperationException java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
120,"IfStatement","null",false,"strip ord max_value ","char java.lang.Integer java.lang.Character ","","","IOException ParseException ","java.text.ParseException java.lang.UnsupportedOperationException java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
121,"IfStatement","null",false,"append flags ord max_value ","short int java.lang.Short ","","","IOException ParseException ","java.text.ParseException java.lang.UnsupportedOperationException java.lang.UnsupportedOperationException ",java.lang.UnsupportedOperationException
122,"IfStatement","null",false,"length parts ","int java.lang.String ","","","IOException ParseException ","java.lang.IllegalStateException ",java.text.ParseException
123,"IfStatement","null",false,"parts mappings ","java.lang.String java.util.Map java.lang.String ","NULL ","put ","IOException ParseException ","java.text.ParseException ",java.lang.IllegalStateException
124,"IfStatement","null",false,"","int ","","","IOException ParseException ","",java.text.ParseException
125,"IfStatement","null",false,"length parts ","int java.lang.String ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
126,"MethodDeclaration","null",false,"utf8_flag_type length parts long_flag_type flag type num_flag_type ","java.lang.String boolean int java.lang.String ","","equals ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
127,"IfStatement","null",false,"cmp ","int ","","","IOException ","",java.lang.IllegalArgumentException
128,"CatchClause","java.lang.IndexOutOfBoundsException",true,"aliases ","int java.lang.String ","","","","",java.lang.IllegalArgumentException
129,"IfStatement","null",false,"flags length ","char int ","","","","",java.lang.IllegalArgumentException
130,"IfStatement","null",true,"raw flags ","java.lang.String int ","","length ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
131,"IfStatement","null",false,"","char ","256 ","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
132,"CatchClause","java.io.IOException",true,"iconv reuse ","java.lang.StringBuilder org.apache.lucene.util.fst.FST void ","","applyMappings ","","",java.lang.RuntimeException
133,"IfStatement","null",false,"temp dir path ","java.lang.String ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
134,"IfStatement","null",false,"temp directory ","java.nio.file.Path java.nio.file.Files boolean ","","isWritable ","IOException ","java.io.IOException ",java.io.IOException
135,"CatchClause","java.io.IOException",true,"length case variant stems word ","boolean java.util.List char int ","","addAll stem ","","",java.lang.RuntimeException
