@relation "pdfbox"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.io.IOException,java.lang.IllegalStateException,java.io.EOFException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,org.apache.pdfbox.examples.signature.cert.CertificateVerificationException,java.lang.Exception,org.bouncycastle.cert.ocsp.OCSPException,org.apache.pdfbox.preflight.exception.ValidationException,org.apache.pdfbox.preflight.content.ContentStreamException,org.apache.xmpbox.type.BadFieldValueException,org.apache.xmpbox.xml.XmpParsingException}

@data
28,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
29,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
30,"IfStatement","null",false,"is c i d font ","boolean ","","","","",java.lang.IllegalStateException
31,"IfStatement","null",false,"","int ","255 ","","IOException ","",java.lang.IllegalArgumentException
32,"IfStatement","null",true,"","int ","255 ","","IOException ","",java.lang.IllegalArgumentException
33,"IfStatement","null",false,"name ","java.lang.String ","NULL ","","","",java.lang.IllegalArgumentException
34,"IfStatement","null",true,"num ","int ","","","","",java.lang.IllegalArgumentException
35,"IfStatement","null",true,"selector ","java.lang.String boolean ","","startsWith ","","",java.lang.IllegalArgumentException
36,"IfStatement","null",false,"","int ","","","IOException ","",java.io.EOFException
37,"IfStatement","null",false,"","int ","","","IOException ","",java.io.EOFException
38,"IfStatement","null",false,"","int ","","","IOException ","",java.io.EOFException
39,"IfStatement","null",false,"","int ","","","IOException ","",java.io.EOFException
40,"IfStatement","null",true,"length input buffer buffer position ","int byte ","","","IOException ","",java.io.EOFException
41,"SwitchStatement","null",false,"first tag ","java.lang.String ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
42,"SwitchStatement","null",false,"first tag ","java.lang.String ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
43,"IfStatement","null",false,"name index ","java.lang.String ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
44,"IfStatement","null",false,"top dict index ","byte ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
45,"MethodDeclaration","null",false,"tag name ","java.lang.String boolean ","CFF  ","equals ","IOException ","",java.io.IOException
46,"IfStatement","null",true,"input offset ","int org.apache.fontbox.cff.CFFDataInput ","","length ","IOException ","",java.io.IOException
47,"IfStatement","null",false,"length ","int ","","","IOException ","",java.io.IOException
48,"IfStatement","null",false,"","int ","254 ","","IOException ","",java.io.IOException
49,"IfStatement","null",true,"","int ","254 251 ","","IOException ","",java.lang.IllegalArgumentException
50,"SwitchStatement","null",false,"nibble ","int ","","","IOException ","java.io.IOException ",java.lang.IllegalArgumentException
51,"CatchClause","java.lang.NumberFormatException",false,"","java.lang.Double java.lang.StringBuilder java.lang.String ","","valueOf toString ","IOException ","java.lang.IllegalArgumentException ",java.io.IOException
52,"IfStatement","null",false,"synthetic base entry ","org.apache.fontbox.cff.CFFParser.DictData.Entry ","NULL ","","IOException ","",java.io.IOException
53,"IfStatement","null",false,"fd array entry ","org.apache.fontbox.cff.CFFParser.DictData.Entry ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
54,"IfStatement","null",false,"private entry ","org.apache.fontbox.cff.CFFParser.DictData.Entry ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
55,"IfStatement","null",false,"private entry ","org.apache.fontbox.cff.CFFParser.DictData.Entry ","NULL ","","IOException ","",java.io.IOException
56,"SwitchStatement","null",false,"base format ","int ","","","IOException ","",java.lang.IllegalArgumentException
57,"SwitchStatement","null",false,"format ","int ","","","IOException ","",java.lang.IllegalArgumentException
58,"SwitchStatement","null",false,"format ","int ","","","IOException ","",java.lang.IllegalArgumentException
59,"MethodDeclaration","null",false,"operand ","java.lang.Number java.lang.Integer ","","","","",java.lang.IllegalArgumentException
60,"IfStatement","null",true,"string ","java.lang.String int ","","length ","","",java.lang.IllegalArgumentException
61,"IfStatement","null",false,"","int ","255 ","","IOException ","",java.lang.IllegalArgumentException
62,"MethodDeclaration","null",false,"item command ","org.apache.fontbox.cff.CharStringCommand java.lang.Object int org.apache.fontbox.cff.CharStringCommand.Key java.lang.Integer ","","getValue getKey ","IOException ","",java.io.IOException
63,"IfStatement","null",true,"","int ","255 ","","IOException ","",java.lang.IllegalArgumentException
64,"IfStatement","null",false,"next token ","java.lang.String java.lang.Object boolean org.apache.fontbox.cmap.CMapParser.Operator ","endcodespacerange ","equals ","IOException ","",java.io.IOException
65,"IfStatement","null",false,"next token ","java.lang.String java.lang.Object boolean org.apache.fontbox.cmap.CMapParser.Operator ","endbfchar ","equals ","IOException ","java.io.IOException ",java.io.IOException
66,"IfStatement","null",false,"next token ","java.lang.Object org.apache.fontbox.cmap.CMapParser.LiteralName ","","","IOException ","java.io.IOException ",java.io.IOException
67,"IfStatement","null",false,"next token ","java.lang.String java.lang.Object boolean org.apache.fontbox.cmap.CMapParser.Operator ","endcidrange ","equals ","IOException ","java.io.IOException ",java.io.IOException
68,"IfStatement","null",false,"end code start code length ","int byte ","","","IOException ","java.io.IOException ",java.io.IOException
69,"IfStatement","null",false,"next token ","java.lang.String java.lang.Object boolean org.apache.fontbox.cmap.CMapParser.Operator ","endcidchar ","equals ","IOException ","",java.io.IOException
70,"IfStatement","null",false,"next token ","java.lang.String java.lang.Object boolean org.apache.fontbox.cmap.CMapParser.Operator ","endbfrange ","equals ","IOException ","",java.io.IOException
71,"IfStatement","null",false,"","java.io.InputStream ","NULL ","","IOException ","",java.io.IOException
72,"IfStatement","null",false,"second close brace ","int ","","","IOException ","java.io.IOException ",java.io.IOException
73,"IfStatement","null",true,"end bytes length start bytes ","int byte ","","","","",java.lang.IllegalArgumentException
74,"IfStatement","null",false,"start_marker ","int java.io.ByteArrayInputStream ","","read ","IOException ","java.io.IOException java.io.EOFException java.io.EOFException ",java.io.IOException
75,"IfStatement","null",false,"records pfb_records ","int int java.io.ByteArrayInputStream ","","read ","IOException ","java.io.IOException java.io.EOFException java.io.EOFException ",java.io.IOException
76,"IfStatement","null",false,"length pfbdata pointer ","int byte ","","","IOException ","java.io.IOException java.io.IOException java.io.EOFException ",java.io.EOFException
77,"IfStatement","null",false,"got ","int ","","","IOException ","java.io.IOException java.io.IOException java.io.EOFException ",java.io.EOFException
78,"SwitchStatement","null",false,"subtable format ","int ","","","IOException ","",java.io.IOException
79,"IfStatement","null",false,"nb groups ","long ","65536 ","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
80,"IfStatement","null",false,"end code first code ","long ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
81,"IfStatement","null",false,"max_value ","int long java.lang.Integer ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
82,"IfStatement","null",false,"is32 length ","int int long ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
83,"IfStatement","null",false,"max_value codepoint ","int long java.lang.Integer ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
84,"IfStatement","null",true,"glyph index num glyphs max_value ","int long java.lang.Integer ","","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
85,"IfStatement","null",false,"max_value num chars ","int long java.lang.Integer ","","","IOException ","java.io.IOException ",java.io.IOException
86,"IfStatement","null",false,"start code num chars ","long ","0x0010FFFF 0x0000DFFF 0x0000D800 ","","IOException ","java.io.IOException ",java.io.IOException
87,"IfStatement","null",false,"first code ","long ","0x0000DFFF 0x0000D800 0x0010FFFF ","","IOException ","java.io.IOException ",java.io.IOException
88,"IfStatement","null",false,"end code first code ","long ","0x0000DFFF 0x0000D800 0x0010FFFF ","","IOException ","java.io.IOException ",java.io.IOException
89,"IfStatement","null",false,"first code ","long ","0x0000DFFF 0x0000D800 0x0010FFFF ","","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
90,"IfStatement","null",false,"end code first code ","long ","0x0000DFFF 0x0000D800 0x0010FFFF ","","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
91,"IfStatement","null",false,"max_value first code ","long int java.lang.Integer ","","","IOException ","java.io.IOException java.io.IOException ",java.io.IOException
92,"IfStatement","null",false,"ch4 ch3 ch2 ch1 ","int ","","","IOException ","",java.io.EOFException
93,"IfStatement","null",false,"ch2 ch1 ","int ","","","IOException ","",java.io.EOFException
94,"IfStatement","null",false,"ch2 ch1 ","int ","","","IOException ","",java.io.EOFException
95,"IfStatement","null",true,"max_value pos ","long int java.lang.Integer ","","","IOException ","",java.io.IOException
96,"IfStatement","null",false,"is post script ","boolean ","","","IOException ","",java.lang.UnsupportedOperationException
97,"IfStatement","null",false,"is post script ","boolean ","","","IOException ","",java.lang.UnsupportedOperationException
98,"IfStatement","null",false,"cur char2 gid ","java.util.Map.Entry java.lang.Integer ","0xFFFF ","getKey ","IOException ","",java.lang.UnsupportedOperationException
99,"IfStatement","null",true,"nskip ","long java.io.InputStream ","","skip ","IOException ","java.io.EOFException ",java.io.EOFException
100,"IfStatement","null",true,"buf count ","int java.io.InputStream byte ","","read ","IOException ","java.io.EOFException ",java.io.EOFException
101,"CatchClause","java.io.IOException",false,"raf ","org.apache.fontbox.ttf.RAFDataStream org.apache.fontbox.ttf.TrueTypeFont ","","parse ","IOException ","",java.io.IOException
102,"IfStatement","null",false,"head ","org.apache.fontbox.ttf.HeaderTable ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
103,"IfStatement","null",false,"","org.apache.fontbox.ttf.HorizontalHeaderTable ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
104,"IfStatement","null",false,"maxp ","org.apache.fontbox.ttf.MaximumProfileTable ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
105,"IfStatement","null",false,"is embedded post ","org.apache.fontbox.ttf.PostScriptTable boolean ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
106,"IfStatement","null",false,"loc ","org.apache.fontbox.ttf.IndexToLocationTable ","NULL ","","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
107,"IfStatement","null",true,"font ","org.apache.fontbox.ttf.TrueTypeFont org.apache.fontbox.ttf.GlyphTable ","NULL ","getGlyph ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
108,"IfStatement","null",true,"is embedded font ","org.apache.fontbox.ttf.TrueTypeFont boolean org.apache.fontbox.ttf.NamingTable ","NULL ","getNaming ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
109,"IfStatement","null",true,"font ","org.apache.fontbox.ttf.TrueTypeFont org.apache.fontbox.ttf.HorizontalMetricsTable ","NULL ","getHorizontalMetrics ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
110,"IfStatement","null",true,"is embedded font ","org.apache.fontbox.ttf.TrueTypeFont boolean org.apache.fontbox.ttf.CmapTable ","NULL ","getCmap ","IOException ","java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException java.io.IOException ",java.io.IOException
111,"IfStatement","null",false,"tag ","java.lang.String boolean ","ttcf ","equals ","IOException ","",java.io.IOException
112,"IfStatement","null",true,"max_code_point min_code_point code point ","int java.lang.Character ","","","","",java.lang.IllegalArgumentException
113,"IfStatement","null",true,"is strict ","boolean ","","","IOException ","java.io.IOException ",java.io.IOException
114,"IfStatement","null",true,"is strict ","boolean ","","","IOException ","java.io.IOException ",java.io.IOException
115,"IfStatement","null",false,"head ","org.apache.fontbox.ttf.HeaderTable ","NULL ","","IOException ","java.io.IOException ",java.io.IOException
116,"IfStatement","null",false,"head long_offsets ","short org.apache.fontbox.ttf.HeaderTable ","","getIndexToLocFormat ","IOException ","java.io.IOException ",java.io.IOException
117,"SwitchStatement","null",false,"subst format ","int ","","","IOException ","",java.io.IOException
118,"IfStatement","null",false,"subst format ","int ","","","IOException ","java.io.IOException ",java.io.IOException
119,"IfStatement","null",false,"lig set count coverage table ","int org.apache.fontbox.ttf.table.common.CoverageTable ","","getSize ","IOException ","java.io.IOException ",java.io.IOException
120,"SwitchStatement","null",false,"coverage format ","int ","","","IOException ","",java.io.IOException
121,"IfStatement","null",true,"version ","int ","","","IOException ","",java.lang.IllegalStateException
122,"IfStatement","null",false,"length ","int ","","","IOException ","",java.io.IOException
123,"IfStatement","null",false,"v header ","org.apache.fontbox.ttf.VerticalHeaderTable ","NULL ","","IOException ","",java.io.IOException
124,"IfStatement","null",false,"h header ","org.apache.fontbox.ttf.HorizontalHeaderTable ","NULL ","","IOException ","",java.io.IOException
125,"IfStatement","null",false,"unsigned byte ","int ","","","IOException ","",java.io.EOFException
126,"IfStatement","null",false,"byte4 ","long ","","","IOException ","",java.io.EOFException
127,"IfStatement","null",true,"number of bytes total amount read ","int ","","","IOException ","",java.io.IOException
128,"SwitchStatement","null",true,"gsub data ","org.apache.fontbox.ttf.model.GsubData org.apache.fontbox.ttf.model.Language ","","getLanguage ","","",java.lang.UnsupportedOperationException
129,"IfStatement","null",true,"coverage table length single subst table format2 ","int org.apache.fontbox.ttf.table.gsub.LookupTypeSingleSubstFormat2 org.apache.fontbox.ttf.table.common.CoverageTable int ","","getSubstituteGlyphIDs getSize ","","",java.lang.IllegalArgumentException
130,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
131,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
132,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
133,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
134,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
135,"IfStatement","null",true,"feature name ","java.lang.String boolean ","","isFeatureSupported ","","",java.lang.UnsupportedOperationException
136,"IfStatement","null",true,"glyph ids ","java.util.List boolean ","","canReplaceGlyphs ","","",java.lang.UnsupportedOperationException
137,"MethodDeclaration","null",false,"","","","","","",java.lang.UnsupportedOperationException
138,"IfStatement","null",true,"bytes length ","int byte ","","","IOException ","java.io.IOException ",java.lang.IllegalArgumentException
139,"IfStatement","null",true,"bytes length ","byte int ","","","IOException ","java.lang.IllegalArgumentException ",java.io.IOException
140,"IfStatement","null",false,"name ","java.lang.String boolean ","StandardEncoding ","equals ","IOException ","",java.io.IOException
141,"IfStatement","null",false,"integer token ","org.apache.fontbox.type1.Token.Kind org.apache.fontbox.type1.Token ","","getKind ","IOException ","",java.io.IOException
142,"IfStatement","null",false,"peek token ","org.apache.fontbox.type1.Token ","NULL ","","IOException ","",java.io.IOException
143,"MethodDeclaration","null",false,"token ","org.apache.fontbox.type1.Token java.lang.String boolean ","def ","getText equals ","IOException ","",java.io.IOException
144,"MethodDeclaration","null",false,"token ","org.apache.fontbox.type1.Token java.lang.String boolean ","put ","getText equals ","IOException ","",java.io.IOException
145,"IfStatement","null",true,"token kind ","org.apache.fontbox.type1.Token org.apache.fontbox.type1.Token.Kind ","NULL ","getKind ","IOException ","",java.io.IOException
146,"IfStatement","null",true,"name token ","java.lang.String org.apache.fontbox.type1.Token boolean ","","getText equals ","IOException ","",java.io.IOException
147,"IfStatement","null",false,"","char ","","","IOException ","org.apache.fontbox.type1.DamagedFontException java.io.IOException ",java.io.IOException
148,"IfStatement","null",true,"integer prev token ","org.apache.fontbox.type1.Token org.apache.fontbox.type1.Token.Kind ","NULL ","getKind ","IOException ","java.io.IOException org.apache.fontbox.type1.DamagedFontException ",java.io.IOException
149,"IfStatement","null",false,"line splitted by key value length ","int java.lang.String ","","","IOException ","",java.lang.IllegalArgumentException
150,"IfStatement","null",false,"constituent glyphs ","java.util.List boolean ","NULL ","isEmpty ","","",java.lang.IllegalStateException
151,"CatchClause","java.io.IOException",false,"file configuration ","java.io.InputStream java.util.Properties java.io.File java.io.FileInputStream void ","","load ","","",java.lang.RuntimeException
152,"CatchClause","java.awt.datatransfer.UnsupportedFlavorException",true,"transfer support transferable files java file list flavor ","java.util.List java.awt.datatransfer.Transferable java.io.File java.awt.datatransfer.DataFlavor javax.swing.TransferHandler.TransferSupport java.lang.Object void ","","getTransferData readPDFFile get getTransferable ","","",java.lang.RuntimeException
153,"CatchClause","java.lang.NoSuchMethodException",false,"osx quit osx open files ","java.lang.reflect.Method void org.apache.pdfbox.debugger.ui.OSXAdapter java.lang.Class java.lang.String ","osxQuit osxOpenFiles ","setAccessible getClass getDeclaredMethod setQuitHandler setFileHandler ","","",java.lang.RuntimeException
154,"CatchClause","java.io.IOException",false,"url string ","java.lang.String void ","","readPDFurl ","","java.lang.RuntimeException ",java.lang.RuntimeException
155,"CatchClause","java.lang.Exception",false,"recent files ","org.apache.pdfbox.debugger.ui.RecentFiles java.lang.Class ","","getClass ","","java.lang.RuntimeException ",java.lang.RuntimeException
156,"CatchClause","java.io.IOException",true,"filename ","java.lang.String void ","","readPDFFile ","","",java.lang.RuntimeException
157,"CatchClause","java.io.IOException",false,"pdf filter open dialog name dir file extensions is_mac_os ","java.awt.FileDialog java.io.File java.lang.String org.apache.pdfbox.debugger.ui.FileOpenSaveDialog javax.swing.filechooser.FileFilter void java.lang.String boolean org.apache.pdfbox.debugger.ui.ExtensionFileFilter ","NULL Open pdf PDF Files (*.pdf) .pdf PDF ","readPDFFile getFile openFile endsWith setFilenameFilter toLowerCase getDirectory setVisible ","","",java.lang.RuntimeException
158,"CatchClause","java.lang.Exception",false,"parent node j scroll pane right j split pane status bar selected node j text pane path ","java.lang.Object javax.swing.tree.TreePath void boolean javax.swing.JSplitPane javax.swing.JScrollPane javax.swing.JTextPane java.awt.Component org.apache.pdfbox.debugger.ui.ReaderBottomPanel org.apache.pdfbox.cos.COSStream javax.swing.JLabel ","NULL ","getLastPathComponent getParentPath getRightComponent setText showFont showFlagPane getUnderneathObject showColorPane isPage getStatusLabel isSpecialColorSpace ","","",java.lang.RuntimeException
159,"CatchClause","java.io.IOException",true,"data selected node stream ","org.apache.pdfbox.cos.COSStream java.io.InputStream java.lang.String java.lang.Object org.apache.pdfbox.io.IOUtils org.apache.pdfbox.cos.COSInputStream byte ","","toByteArray createInputStream ","","",java.lang.RuntimeException
160,"CatchClause","java.io.IOException",false,"current file path document recent files ","java.lang.String org.apache.pdfbox.debugger.ui.RecentFiles void org.apache.pdfbox.pdmodel.PDDocument boolean ","http ","close startsWith addFile ","","",java.lang.RuntimeException
161,"CatchClause","java.awt.print.PrinterException",false,"job one_sided two_sided_short_edge two_sided_long_edge duplex flip long edge simplex document wait_cursor pras ","java.lang.String javax.print.attribute.PrintRequestAttributeSet org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences java.awt.print.PrinterJob org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences.DUPLEX javax.print.attribute.standard.Sides boolean java.awt.Cursor org.apache.pdfbox.pdmodel.PDDocument void int ","NULL ","toString equals add setCursor getDuplex print getPredefinedCursor getViewerPreferences getDefaultCursor setPageable getDocumentCatalog ","","",java.lang.RuntimeException
162,"CatchClause","java.lang.Exception",false,"file path ","java.lang.String void ","","readPDFFile ","","",java.lang.RuntimeException
163,"CatchClause","java.lang.Exception",false,"label image default transform ","javax.swing.JLabel java.awt.image.BufferedImage int java.awt.geom.AffineTransform double void java.lang.Math org.apache.pdfbox.debugger.ui.HighResolutionImageIcon ","NULL ","getHeight getWidth ceil get setIcon getScaleY setText getScaleX setSize ","","",java.lang.RuntimeException
164,"IfStatement","null",false,"icc profile ","java.awt.color.ICC_Profile ","NULL ","","IOException ","",java.io.IOException
165,"IfStatement","null",false,"url ","java.net.URL ","NULL ","","IOException ","",java.io.IOException
166,"MethodDeclaration","null",true,"tree node ","java.lang.Object org.apache.pdfbox.debugger.ui.MapEntry org.apache.pdfbox.debugger.ui.PageEntry org.apache.pdfbox.debugger.ui.ArrayEntry ","","","","",java.lang.IllegalArgumentException
167,"MethodDeclaration","null",false,"selection menu item ","java.lang.String javax.swing.JRadioButtonMenuItem boolean ","","getText equals ","","",java.lang.IllegalArgumentException
168,"MethodDeclaration","null",false,"menu item ","org.apache.pdfbox.debugger.ui.ZoomMenu.ZoomMenuItem boolean ","","isSelected ","","",java.lang.IllegalStateException
169,"SwitchStatement","null",true,"selection ","java.lang.String ","","","","",java.lang.IllegalArgumentException
170,"SwitchStatement","null",true,"action command ","java.lang.String ","","","","",java.lang.IllegalArgumentException
171,"CatchClause","java.lang.Exception",false,"enable about menu mac o s x application enable about method ","java.lang.reflect.Method java.lang.Object boolean java.lang.Boolean java.lang.Class ","setEnabledAboutMenu ","valueOf getClass invoke getDeclaredMethod ","","",java.lang.RuntimeException
172,"CatchClause","java.lang.Exception",false,"mac o s x application enable prefs method enable prefs menu ","java.lang.reflect.Method java.lang.Object boolean java.lang.Class ","setEnabledPreferencesMenu ","getClass invoke getDeclaredMethod ","","",java.lang.RuntimeException
173,"CatchClause","java.lang.Exception",true,"target object files open files event target method get files method ","java.lang.Object java.lang.reflect.Method java.util.List java.io.File java.lang.String java.lang.Class java.lang.Class java.lang.SuppressWarnings ","NULL getFiles unchecked ","invoke getAbsolutePath getClass get getDeclaredMethod ","","",java.lang.RuntimeException
174,"CatchClause","java.lang.Exception",true,"filename apple event target object get filename method target method ","java.lang.Object java.lang.reflect.Method java.lang.String java.lang.Class java.lang.Class ","NULL getFilename ","invoke getClass getDeclaredMethod ","","",java.lang.RuntimeException
